vertikal,kalem_id,kalem_adi,grup,birim,olcum_turu,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
kedi,mama-su-kabi,Mama ve Su Kabı,Beslenme,sabit,kalem_fiyati,154,356,600,99,1352,62,2,amazon; petzzshop,2026-08-20
kedi,tasima-cantasi,Taşıma Çantası,Taşıma,sabit,kalem_fiyati,1134,2170,3880,212,9181,64,2,amazon; petzzshop,2026-08-20
kedi,kedi-kumu,Kedi Kumu (paket),Tekrarlayan ürün,sabit,paket_fiyati,248,403,805,107,1296,62,2,amazon; petzzshop,2026-08-20
kedi,kedi-mamasi,Kedi Maması (paket),Tekrarlayan ürün,sabit,paket_fiyati,688,1902,3351,118,7044,74,2,amazon; petzzshop,2026-08-20
kedi,kedi-tuvaleti,Kedi Tuvaleti,Tuvalet,sabit,kalem_fiyati,372,1349,9999,300,11889,30,1,amazon,2026-08-20
kedi,kedi-oyuncagi,Kedi Oyuncağı,Yaşam alanı,sabit,kalem_fiyati,84,138,290,50,384,61,2,amazon; petzzshop,2026-08-20
kedi,kedi-yatagi,Kedi Yatağı,Yaşam alanı,sabit,kalem_fiyati,1231,1448,2206,199,3975,64,2,amazon; petzzshop,2026-08-20
kedi,tirmalama,Tırmalama Tahtası,Yaşam alanı,sabit,kalem_fiyati,300,549,1017,150,1575,41,1,amazon,2026-08-09
