vertikal,kalem_id,kalem_adi,grup,birim,olcum_turu,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,tl_kg,kg_urun_sayisi,tl_litre,litre_urun_sayisi,tl_adet,adet_urun_sayisi,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
kedi,mama-su-kabi,Mama ve Su Kabı,Beslenme,sabit,kalem_fiyati,150,351,590,99,718,,,,,,,62,2,amazon; petzzshop,2026-09-05
kedi,tasima-cantasi,Taşıma Çantası,Taşıma,sabit,kalem_fiyati,944,1974,3458,212,5662,,,,,,,59,2,amazon; petzzshop,2026-09-05
kedi,kedi-kumu,Kedi Kumu (paket),Tekrarlayan ürün,sabit,paket_fiyati,256,408,805,107,1296,,,34.8,9,,,62,2,amazon; petzzshop,2026-09-05
kedi,kedi-mamasi,Kedi Maması (paket),Tekrarlayan ürün,sabit,paket_fiyati,493,1388,3454,118,5900,411.24,53,,,,,63,2,amazon; petzzshop,2026-09-05
kedi,kedi-tuvaleti,Kedi Tuvaleti,Tuvalet,sabit,kalem_fiyati,422,1484,12217,300,23799,,,,,,,37,1,amazon,2026-08-22
kedi,kedi-oyuncagi,Kedi Oyuncağı,Yaşam alanı,sabit,kalem_fiyati,275,362,464,69,691,,,,,,,61,2,amazon; petzzshop,2026-09-05
kedi,kedi-yatagi,Kedi Yatağı,Yaşam alanı,sabit,kalem_fiyati,1231,1448,2206,199,3975,,,,,,,64,2,amazon; petzzshop,2026-09-05
kedi,tirmalama,Tırmalama Tahtası,Yaşam alanı,sabit,kalem_fiyati,300,549,1017,150,1575,,,,,,,41,1,amazon,2026-08-09
