vertikal,kalem_id,kalem_adi,grup,birim,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
kedi,kedi-kumu,Kedi Kumu (aylık),Aylık sarf,sabit,242,394,504,107,901,60,2,amazon; petzzshop,2026-08-09
kedi,kedi-mamasi,Kedi Maması (aylık),Aylık sarf,sabit,580,1412,3351,118,5087,74,2,amazon; petzzshop,2026-08-09
kedi,mama-su-kabi,Mama ve Su Kabı,Beslenme,sabit,154,356,600,99,1352,62,2,amazon; petzzshop,2026-08-09
kedi,tasima-cantasi,Taşıma Çantası,Taşıma,sabit,1132,2170,3880,212,9181,63,2,amazon; petzzshop,2026-08-09
kedi,kedi-tuvaleti,Kedi Tuvaleti,Tuvalet,sabit,580,1690,4344,445,9999,27,1,amazon,2026-08-09
kedi,kedi-oyuncagi,Kedi Oyuncağı,Yaşam alanı,sabit,85,138,224,50,500,72,2,amazon; petzzshop,2026-08-09
kedi,kedi-yatagi,Kedi Yatağı,Yaşam alanı,sabit,1231,1448,2206,199,3975,64,2,amazon; petzzshop,2026-08-09
kedi,tirmalama,Tırmalama Tahtası,Yaşam alanı,sabit,300,549,1017,150,1575,41,1,amazon,2026-08-09
