vertikal,kalem_id,kalem_adi,grup,birim,olcum_turu,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
kopek,kopek-mama-kabi,Köpek Mama ve Su Kabı,Beslenme,sabit,kalem_fiyati,207,409,699,129,975,47,1,amazon,2026-08-09
kopek,kopek-tasmasi,Köpek Tasması,Gezdirme,sabit,kalem_fiyati,178,421,1104,76,1656,62,2,amazon; petzzshop,2026-08-20
kopek,kopek-tasima,Taşıma Çantası / Kafes,Gezdirme,sabit,kalem_fiyati,844,1632,3014,411,4720,44,1,amazon,2026-08-09
kopek,kopek-mamasi,Köpek Maması (paket),Tekrarlayan ürün,sabit,paket_fiyati,990,3202,5288,105,7087,69,2,amazon; petzzshop,2026-08-20
kopek,cis-pedi,Çiş Pedi (paket),Tekrarlayan ürün,sabit,paket_fiyati,250,366,1235,150,1470,43,1,amazon,2026-08-09
kopek,kopek-oyuncagi,Köpek Oyuncağı,Yaşam alanı,sabit,kalem_fiyati,112,288,818,36,1120,79,2,amazon; petzzshop,2026-08-20
kopek,kopek-yatagi,Köpek Yatağı,Yaşam alanı,sabit,kalem_fiyati,1536,2080,2920,209,3975,54,2,amazon; petzzshop,2026-08-20
