vertikal,kalem_id,kalem_adi,grup,birim,olcum_turu,ekonomik_tl,orta_tl,ust_tl,en_dusuk_tl,en_yuksek_tl,tl_kg,kg_urun_sayisi,tl_litre,litre_urun_sayisi,tl_adet,adet_urun_sayisi,urun_sayisi,kaynak_sayisi,kaynaklar,olcum_tarihi
kopek,kopek-mama-kabi,Köpek Mama ve Su Kabı,Beslenme,sabit,kalem_fiyati,207,409,699,129,975,,,,,,,47,1,amazon,2026-08-09
kopek,kopek-tasmasi,Köpek Tasması,Gezdirme,sabit,kalem_fiyati,178,356,747,76,1647,,,,,,,60,2,amazon; petzzshop,2026-09-05
kopek,kopek-tasima,Taşıma Çantası / Kafes,Gezdirme,sabit,kalem_fiyati,844,1632,3014,411,4720,,,,,,,44,1,amazon,2026-08-09
kopek,kopek-mamasi,Köpek Maması (paket),Tekrarlayan ürün,sabit,paket_fiyati,755,1628,4580,105,6250,401.71,18,,,,,69,2,amazon; petzzshop,2026-09-05
kopek,cis-pedi,Çiş Pedi (paket),Tekrarlayan ürün,sabit,paket_fiyati,250,366,1235,150,1470,,,,,,,43,1,amazon,2026-08-09
kopek,kopek-oyuncagi,Köpek Oyuncağı,Yaşam alanı,sabit,kalem_fiyati,126,275,492,65,914,,,,,,,77,2,amazon; petzzshop,2026-09-05
kopek,kopek-yatagi,Köpek Yatağı,Yaşam alanı,sabit,kalem_fiyati,1536,2105,2920,209,3975,,,,,,,54,2,amazon; petzzshop,2026-09-05
